source,term,term_id,padj,term_size,intersection_size,query_size,ratio,-log10(padj)
GO:MF,ion binding,GO:0043167,0.00027824155133557293,3104,128,355,0.36056338028169016,3.5555780139260356
GO:BP,RNA biosynthetic process,GO:0032774,0.00031129139128150107,1931,90,349,0.25787965616045844,3.506832889502633
GO:MF,DNA helicase activity,GO:0003678,0.0003345179812234436,40,8,355,0.022535211267605635,3.4755805327953073
GO:CC,organelle,GO:0043226,0.00036154275577425385,6585,238,372,0.6397849462365591,3.441840335993709
GO:MF,heat shock protein binding,GO:0031072,0.0003950666121282542,41,8,355,0.022535211267605635,3.4033296718654116
GO:CC,MCM complex,GO:0042555,0.00039585191320149615,7,4,372,0.010752688172043012,3.402467251719988
GO:CC,intracellular organelle,GO:0043229,0.0004411664556968115,6469,234,372,0.6290322580645161,3.35539751676586
GO:BP,poly(A)-dependent snoRNA 3'-end processing,GO:0071051,0.0005563829871681446,6,4,349,0.011461318051575931,3.2546261581407343
GO:BP,cell division,GO:0051301,0.0006798516329083902,365,27,349,0.07736389684813753,3.16758585499912
GO:CC,membrane-bounded organelle,GO:0043227,0.000765818352419609,6043,220,372,0.5913978494623656,3.115874230232961
GO:CC,intracellular membrane-bounded organelle,GO:0043231,0.0007970827257191243,5816,213,372,0.5725806451612904,3.0984966027458034
GO:MF,small molecule binding,GO:0036094,0.0008009846629984133,3205,129,355,0.36338028169014086,3.096375799569853
GO:MF,"ATP-dependent activity, acting on DNA",GO:0008094,0.0008171979462858457,72,10,355,0.028169014084507043,3.087672733471119
GO:BP,mitotic cell cycle process,GO:1903047,0.0011406502959812647,334,25,349,0.07163323782234957,2.9428474824918056
GO:BP,double-strand break repair via break-induced replication,GO:0000727,0.0011406502959812647,13,5,349,0.014326647564469915,2.9428474824918056
GO:BP,premeiotic DNA replication,GO:0006279,0.0011640279414487237,7,4,349,0.011461318051575931,2.934036594710741
GO:MF,rRNA binding,GO:0019843,0.0012121519109820698,48,8,355,0.022535211267605635,2.916442949503865
GO:BP,protein refolding,GO:0042026,0.0012762719278081656,31,7,349,0.02005730659025788,2.894056783166129
GO:BP,RNA metabolic process,GO:0016070,0.0013294267345736865,2038,91,349,0.2607449856733524,2.876335591876695
GO:BP,DNA endoreduplication,GO:0042023,0.0014642750926559091,22,6,349,0.017191977077363897,2.8343773249174697
GO:BP,cell cycle,GO:0007049,0.001568448668108034,758,43,349,0.12320916905444126,2.8045296902414836
GO:BP,nuclear DNA replication,GO:0033260,0.0018598791621011104,23,6,349,0.017191977077363897,2.730515271339861
GO:BP,cytoplasmic translation,GO:0002181,0.0021949457713731383,153,15,349,0.04297994269340974,2.658576205027479
GO:CC,cytosolic ribosome,GO:0022626,0.0025356321376193624,99,11,372,0.02956989247311828,2.5959137524426157
GO:CC,mitotic spindle microtubule,GO:1990498,0.003317700130463125,5,3,372,0.008064516129032258,2.4791628701412116
GO:BP,positive regulation of transcription by RNA polymerase I,GO:0045943,0.003495399664072821,9,4,349,0.011461318051575931,2.4565031598387703
GO:MF,U3 snoRNA binding,GO:0034511,0.0038916316587267567,5,3,355,0.008450704225352112,2.4098682722455838
GO:BP,positive regulation of transcription of nucleolar large rRNA by RNA polymerase I,GO:1901838,0.0039720196171766494,4,3,349,0.008595988538681949,2.4009886152596045
GO:BP,CUT catabolic process,GO:0071034,0.0039720196171766494,4,3,349,0.008595988538681949,2.4009886152596045
GO:BP,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",GO:0000462,0.005147144238024472,39,7,349,0.02005730659025788,2.2884336613786633
GO:BP,regulation of transcription by RNA polymerase I,GO:0006356,0.005194052686968435,10,4,349,0.011461318051575931,2.284493649326738
GO:BP,sno(s)RNA 3'-end processing,GO:0031126,0.005194052686968435,10,4,349,0.011461318051575931,2.284493649326738
GO:BP,DNA replication checkpoint signaling,GO:0000076,0.005194052686968435,18,5,349,0.014326647564469915,2.284493649326738
GO:BP,maturation of LSU-rRNA,GO:0000470,0.005241324480824622,28,6,349,0.017191977077363897,2.280558953087052
KEGG,Longevity regulating pathway - multiple species,KEGG:04213,0.005500554196093269,56,9,125,0.072,2.2595935519275767
GO:BP,snRNA metabolic process,GO:0016073,0.005605396716599604,40,7,349,0.02005730659025788,2.2513936452040575
GO:CC,box C/D methylation guide snoRNP complex,GO:0031428,0.006135805690711386,6,3,372,0.008064516129032258,2.2121284021210066
GO:CC,box C/D RNP complex,GO:0170049,0.006135805690711386,6,3,372,0.008064516129032258,2.2121284021210066
GO:BP,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",GO:0000463,0.006559543988373262,19,5,349,0.014326647564469915,2.1831263512061816
KEGG,Ribosome biogenesis in eukaryotes,KEGG:03008,0.006757862209003188,195,17,125,0.136,2.1701906676187797
GO:CC,chromosome,GO:0005694,0.007111537306306007,799,41,372,0.11021505376344086,2.1480365073605316
GO:BP,mitotic DNA replication checkpoint signaling,GO:0033314,0.007294860507111475,11,4,349,0.011461318051575931,2.1369830083039036
GO:BP,sno(s)RNA processing,GO:0043144,0.007294860507111475,11,4,349,0.011461318051575931,2.1369830083039036
GO:BP,regulation of transcription of nucleolar large rRNA by RNA polymerase I,GO:1901836,0.008281182711824254,5,3,349,0.008595988538681949,2.0819076331984516
GO:MF,single-stranded DNA binding,GO:0003697,0.009879725323520433,50,7,355,0.01971830985915493,2.005255129515371
GO:CC,Noc2p-Noc3p complex,GO:0030691,0.010092498518055815,2,2,372,0.005376344086021506,1.996001305687797
GO:CC,Noc1p-Noc2p complex,GO:0030690,0.010092498518055815,2,2,372,0.005376344086021506,1.996001305687797
GO:BP,eggshell chorion gene amplification,GO:0007307,0.01029261779554835,21,5,349,0.014326647564469915,1.9874741539477805
GO:BP,tRNA metabolic process,GO:0006399,0.010791901068173492,161,14,349,0.04011461318051576,1.9669020445947951
KEGG,Protein processing in endoplasmic reticulum,KEGG:04141,0.011499760475081377,136,13,125,0.104,1.9393112053362818
GO:BP,DNA metabolic process,GO:0006259,0.011762868791186718,397,25,349,0.07163323782234957,1.929486747286974
GO:CC,cytosolic large ribosomal subunit,GO:0022625,0.012312011544976844,54,7,372,0.01881720430107527,1.9096709859383234
GO:BP,snRNA 3'-end processing,GO:0034472,0.012453825399960691,22,5,349,0.014326647564469915,1.9046972272901572
GO:BP,sno(s)RNA metabolic process,GO:0016074,0.013688036089120803,13,4,349,0.011461318051575931,1.8636588584285751
GO:BP,transcription by RNA polymerase I,GO:0006360,0.013688036089120803,34,6,349,0.017191977077363897,1.8636588584285751
GO:CC,NuRD complex,GO:0016581,0.01412810563005517,8,3,372,0.008064516129032258,1.8499160667125294
GO:CC,CHD-type complex,GO:0090545,0.01412810563005517,8,3,372,0.008064516129032258,1.8499160667125294
GO:MF,cytoskeletal motor activity,GO:0003774,0.015485102904221906,54,7,355,0.01971830985915493,1.810085904250543
GO:MF,microtubule motor activity,GO:0003777,0.01589685533175773,40,6,355,0.016901408450704224,1.7986887780151875
GO:CC,cytosol,GO:0005829,0.01701908910150656,1194,54,372,0.14516129032258066,1.7690636880102866
GO:BP,DNA biosynthetic process,GO:0071897,0.017490670934075022,49,7,349,0.02005730659025788,1.7571935308656474
GO:BP,chromosome organization,GO:0051276,0.01884670348297646,320,21,349,0.06017191977077364,1.7247646021877798
GO:BP,response to heat,GO:0009408,0.019676853101138765,81,9,349,0.025787965616045846,1.7060443566206653
GO:BP,cellular response to heat,GO:0034605,0.0208124306483666,37,6,349,0.017191977077363897,1.6816771963126982
GO:BP,DNA replication preinitiation complex assembly,GO:0071163,0.02324751062177427,2,2,349,0.0057306590257879654,1.6336235451873127
GO:BP,multivesicular body fusion to apical plasma membrane,GO:0098866,0.02324751062177427,2,2,349,0.0057306590257879654,1.6336235451873127
GO:BP,positive regulation of protein localization to plasma membrane,GO:1903078,0.02324751062177427,7,3,349,0.008595988538681949,1.6336235451873127
GO:BP,U5 snRNA 3'-end processing,GO:0034476,0.02324751062177427,2,2,349,0.0057306590257879654,1.6336235451873127
GO:BP,U1 snRNA 3'-end processing,GO:0034473,0.02324751062177427,2,2,349,0.0057306590257879654,1.6336235451873127
GO:BP,regulation of G2/M transition of mitotic cell cycle,GO:0010389,0.02324751062177427,38,6,349,0.017191977077363897,1.6336235451873127
GO:BP,regulation of cell cycle G2/M phase transition,GO:1902749,0.02324751062177427,38,6,349,0.017191977077363897,1.6336235451873127
GO:MF,"catalytic activity, acting on RNA",GO:0140098,0.024334413006804854,301,19,355,0.05352112676056338,1.613779125318573
GO:CC,CAF-1 complex,GO:0033186,0.026373208866680133,3,2,372,0.005376344086021506,1.5788370257504163
GO:CC,nucleoplasm,GO:0005654,0.02823165051347956,580,30,372,0.08064516129032258,1.5492637308526347
GO:CC,histone deacetylase complex,GO:0000118,0.030717566289716957,34,5,372,0.013440860215053764,1.5126131958285332
GO:CC,replication fork,GO:0005657,0.030717566289716957,34,5,372,0.013440860215053764,1.5126131958285332
GO:BP,protein-RNA complex assembly,GO:0022618,0.03138425471216471,143,12,349,0.034383954154727794,1.5032881801640572
GO:BP,rRNA modification,GO:0000154,0.03239669255877312,28,5,349,0.014326647564469915,1.4894993254969116
GO:BP,positive regulation of protein localization to cell periphery,GO:1904377,0.03239669255877312,8,3,349,0.008595988538681949,1.4894993254969116
GO:BP,nuclear mRNA surveillance,GO:0071028,0.03239669255877312,8,3,349,0.008595988538681949,1.4894993254969116
GO:BP,microtubule sliding,GO:0051012,0.03239669255877312,8,3,349,0.008595988538681949,1.4894993254969116
GO:BP,rRNA catabolic process,GO:0016075,0.03239669255877312,8,3,349,0.008595988538681949,1.4894993254969116
GO:BP,spindle elongation,GO:0051231,0.03322050820448775,17,4,349,0.011461318051575931,1.4785937280340375
GO:CC,aster,GO:0005818,0.03413868911769253,11,3,372,0.008064516129032258,1.466753159257688
