"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"128up",278,261,564,290,358,411,428,512
"14-3-3epsilon",3664,3239,6864,3590,5852,6114,6008,6309
"14-3-3zeta",2775,2311,5019,2680,5153,5459,6835,7332
"18w",245,223,421,204,948,994,966,1135
"26-29-p",387,435,729,402,1287,1309,1784,1836
"312",179,184,336,192,393,429,495,513
"5-HT1A",2,5,4,1,9,7,10,5
"5-HT2A",1,4,5,4,10,15,9,11
"5-HT2B",36,51,53,36,112,120,139,114
"7B2",4,5,8,1,31,33,35,33
"a",426,486,795,400,2236,2084,1991,1767
"AANAT1",54,63,92,50,279,309,437,432
"AANATL6",0,0,0,0,0,0,0,0
"AANATL7",0,1,2,1,3,2,10,4
"Aatf",256,231,546,250,519,639,646,733
"aay",43,42,102,39,431,559,201,305
"ab",55,52,100,34,162,171,211,238
"ABCB7",296,281,608,304,534,612,657,773
"abs",188,237,398,202,329,353,345,409
"Ac3",58,71,128,75,628,653,621,587
"Ac76E",195,205,389,233,2050,2187,1709,1777
"Acam",0,0,0,0,0,0,1,0
"Acbp2",22,21,42,19,56,68,74,58
"Acer",376,377,754,371,1800,1865,1783,1917
"Acf",397,333,831,387,577,542,722,739
"Achl",16,12,13,10,57,43,42,50
"Ack",608,518,1117,534,2788,3255,2184,2267
"Acn",498,458,936,464,911,1031,1124,1185
"Acox57D-d",43,36,82,34,288,326,248,207
"Acox57D-p",485,471,888,404,2585,3065,2414,2809
"Acsl",1674,1528,3339,1677,4748,5392,5669,6031
"Act57B",52,39,88,51,51,43,50,53
"Act5C",13541,14383,25073,15444,20695,20604,21294,22121
"Act79B",12,29,16,19,126,79,16,5
"Act87E",173,136,303,192,161,181,176,194
"Act88F",13,11,29,9,6,6,5,5
"ACXA",0,0,1,0,0,0,0,0
"ACXB",0,0,0,0,0,0,2,0
"ACXC",0,0,0,0,1,1,2,0
"ACXD",1,0,2,0,10,9,12,12
"ACXE",0,0,0,0,0,0,1,0
"Ada",45,39,88,53,146,145,141,171
"Ada1-1",52,62,112,57,239,253,281,285
"Ada1-2",50,41,97,44,274,280,274,283
"Ada3",418,361,821,381,890,956,898,888
"AdamTS-B",2,3,6,4,31,36,29,34
"Adar",253,180,440,220,590,652,695,687
"Adck1",149,130,307,174,231,310,323,453
"Adck5",19,22,37,20,44,44,50,65
"ADD1",351,374,738,377,702,723,968,924
"Adf1",631,612,1177,656,1621,1671,1714,1797
"Adgf-C",0,0,1,0,10,16,14,14
"Adh",0,1,0,5,9,13,42,57
"Adhr",0,1,0,5,9,13,42,57
"Adi1",43,42,86,43,138,156,185,205
"Adk2",370,301,702,327,602,736,745,849
"adp",99,88,171,76,174,211,212,203
"Ae2",1770,1888,3387,1856,3876,3881,3166,3112
"Aef1",407,336,759,354,591,640,708,752
"aft",178,166,304,146,407,441,499,448
"AGBE",505,473,955,537,1430,1618,1635,1765
"AGO2",1023,834,1994,962,2214,2325,2484,2615
"AGO3",1955,1829,3789,1959,4450,4375,4757,4212
"Agpat1",47,39,115,44,201,201,220,245
"Ahcy",571,525,1048,514,1034,1090,1146,1108
"AIF",570,555,1160,573,809,816,730,693
"AIMP2",210,171,380,153,381,426,469,464
"Akap200",4632,3769,8709,4101,12954,14540,11889,12711
"akirin",574,472,1023,503,1176,1274,1472,1414
"Akt1",329,316,764,343,1244,1346,1273,1220
"al",0,0,0,0,1,1,2,2
"Aladin",73,64,155,77,140,149,152,160
"AlaRS-m",177,143,327,156,261,289,326,335
"Alas",305,303,599,323,2423,2585,3120,3387
"Ald2",0,1,0,0,0,0,1,0
"Aldh",624,668,1158,654,2657,3039,3124,3107
"Alg-2",385,349,705,407,788,912,732,764
"Alg10",78,64,185,89,162,206,212,224
"Alg11",205,163,364,171,485,513,711,758
"Alg2",171,155,308,140,310,396,387,447
"Alg9",147,116,290,145,319,382,386,445
"Alp11",11,6,20,11,26,17,17,15
"Alp12",497,545,946,537,1216,1380,958,1019
"Alp4",338,396,574,290,2218,2618,2604,2860
"Alp6",2,3,0,3,2,1,3,2
"Alp9",3,5,10,5,13,13,21,18
"alph",487,428,927,448,920,1007,1065,1119
"alpha-Catr",1,1,1,1,2,2,2,2
"alpha-Est2",0,1,1,1,1,2,3,6
"alpha-Man-IIa",152,107,247,119,559,615,443,499
"alpha-Man-IIb",715,675,1224,671,2234,2184,1661,1640
"alpha4GT2",24,26,64,41,89,105,118,120
"alphaSnap",301,274,547,270,770,928,866,1042
"alphaTub67C",19,16,36,21,89,89,71,66
"alphaTub84B",4324,4373,7625,4845,9954,10526,10997,10423
"alphaTub84D",346,278,566,332,511,564,604,640
"Alr",131,143,267,164,555,658,693,749
"Ama",548,484,906,476,646,732,501,652
"amd",2,1,5,2,13,10,11,13
"Amph",111,85,172,100,537,518,574,590
"AMPKalpha",196,186,379,171,282,305,339,383
"Amy-d",1,3,2,0,2,5,0,1
"ana",134,90,227,96,289,248,413,441
"ana1",284,226,549,259,544,497,712,649
"ana3",371,296,622,281,542,618,727,675
"Ance",3,2,7,2,9,8,16,13
"Ance-2",0,4,1,0,9,6,6,14
"Ance-3",1,0,3,1,2,10,3,2
"anchor",1038,870,1696,974,1766,1997,1917,2022
"angel",51,54,89,49,76,78,93,131
"anne",1214,1085,2335,1150,3057,3331,3963,4041
"AnxB9",1753,2011,3400,2223,5090,4985,5689,5617
"AP-1-2beta",439,410,683,353,614,699,652,725
"AP-1gamma",319,280,630,274,795,810,878,955
"AP-1sigma",267,239,518,257,878,907,943,1027
"AP-2mu",334,320,622,332,633,694,810,789
"Apc2",228,238,472,247,305,410,416,421
"APC4",126,108,194,109,213,239,274,270
"APC7",25,16,40,25,121,121,181,256
"aph-1",95,75,184,100,399,413,362,393
"Apl",161,145,325,155,211,227,204,209
"Aplip1",6,1,12,5,3,7,9,14
"apolpp",0,0,5,2,8,16,7,5
"Apoltp",807,755,1576,741,3882,4413,3332,3128
"APP-BP1",165,159,309,168,448,554,666,714
"Appl",673,592,1435,739,1097,1113,1638,1790
"apt",894,651,1495,658,2653,2627,1886,1785
"ara",2,5,6,5,7,9,7,1
"Arc42",89,90,187,95,223,238,238,267
"Arf102F",482,420,803,500,885,967,1112,1246
"Arf51F",331,273,639,312,1399,1643,1250,1435
"Arfrp1",54,69,143,50,200,211,213,277
"arg",486,409,969,452,1179,1554,1456,1623
"ArgRS-m",103,104,179,97,288,296,297,342
"ari-2",383,294,664,293,864,1012,1057,1182
"Arl1",157,124,272,133,220,307,240,271
"Arl6IP1",199,140,384,173,567,584,553,596
"Arl8",248,208,457,247,784,792,679,783
"armi",484,472,989,508,1606,1750,1125,1164
"Arp1",415,392,832,434,1087,1251,949,1145
"Arp5",72,93,178,88,278,318,285,300
"Arp53D",0,0,0,0,2,0,1,0
"Arpc2",1045,937,1920,1097,2601,3060,2592,2690
"Arpc3A",164,152,312,167,339,378,338,390
"Arpc5",169,152,321,149,358,393,280,335
"Arr1",0,0,0,1,0,0,0,0
"Arts",228,226,484,258,398,502,528,501
"ase",0,0,0,0,1,1,0,1
"asf1",453,437,909,403,648,650,944,1041
"ash2",268,208,487,209,595,730,665,708
"Ask1",271,229,520,240,679,737,736,677
"AsnRS-m",46,34,86,36,131,150,144,140
"AsnS",763,723,1253,736,5026,4937,5847,5402
"asp",427,385,875,437,697,611,784,677
"Asph",40,52,64,40,150,197,197,242
"AspRS",908,828,1617,867,1895,2324,2733,3187
"AspRS-m",467,390,857,440,978,1083,1037,1184
"asrij",157,160,302,142,494,666,802,935
"asRNA:ASTR",7,13,19,9,48,75,174,239
"asRNA:CR30267",0,0,0,0,1,0,0,0
"asRNA:CR31084",0,2,0,1,3,2,4,0
"asRNA:CR31429",15,17,27,18,84,94,150,120
"asRNA:CR31912",1,3,3,2,5,5,5,5
"asRNA:CR33945",0,0,0,0,1,1,1,1
"asRNA:CR42742",1,1,2,0,2,6,2,2
"asRNA:CR42860",0,2,2,0,21,18,21,27
"asRNA:CR43160",0,0,0,0,1,0,0,0
"asRNA:CR43257",39,25,81,28,146,171,169,192
"asRNA:CR43425",0,0,2,0,11,9,16,19
"asRNA:CR43426",5,5,8,5,23,35,56,76
"asRNA:CR43430",0,0,0,0,2,2,4,2
"asRNA:CR43454",0,0,0,0,0,0,0,0
"asRNA:CR43460",1,0,0,0,0,1,0,0
"asRNA:CR43464",1,1,3,0,1,1,2,3
"asRNA:CR43468",39,31,75,28,59,58,87,120
"asRNA:CR43469",60,43,84,55,76,57,78,99
"asRNA:CR43470",0,0,1,0,4,2,9,6
"asRNA:CR43474",6,17,21,12,6,20,14,24
"asRNA:CR43478",0,0,0,0,0,0,1,0
"asRNA:CR43480",1,1,7,2,11,11,10,13
"asRNA:CR43481",0,3,5,3,9,4,15,18
"asRNA:CR43609",2,1,1,0,5,2,3,5
"asRNA:CR43629",156,139,345,130,139,173,189,244
"asRNA:CR43683",7,5,13,6,48,60,65,66
"asRNA:CR43723",68,45,100,53,180,201,261,283
"asRNA:CR43842",1,0,0,1,0,0,0,0
"asRNA:CR43864",35,32,56,24,50,58,88,84
"asRNA:CR43865",0,0,0,0,0,0,0,0
"asRNA:CR43866",16,25,30,19,58,57,71,72
"asRNA:CR43868",0,0,1,0,2,1,1,0
"asRNA:CR43872",0,0,0,0,1,1,4,7
"asRNA:CR43898",3,3,11,4,16,8,15,12
"asRNA:CR43906",69,79,166,92,173,186,277,248
"asRNA:CR43933",3,4,12,3,23,36,29,39
"asRNA:CR43957",118,121,211,123,665,771,808,792
"asRNA:CR43959",0,0,1,1,7,6,21,39
"asRNA:CR43964",90,86,155,67,247,269,276,332
"asRNA:CR43979",0,0,0,0,0,0,0,0
"asRNA:CR44018",0,0,0,0,1,0,0,1
"asRNA:CR44019",7,6,20,13,51,64,49,82
"asRNA:CR44029",237,202,419,206,1013,1137,814,914
"asRNA:CR44030",159,165,304,146,593,715,657,701
"asRNA:CR44031",47,48,94,29,58,80,46,77
"asRNA:CR44046",88,85,149,77,132,170,164,159
"asRNA:CR44047",3,6,9,3,19,16,31,29
"asRNA:CR44049",0,1,0,1,1,0,1,0
"asRNA:CR44054",74,57,131,68,131,141,125,125
"asRNA:CR44064",1,0,0,0,4,3,2,6
"asRNA:CR44065",0,0,0,0,1,0,2,3
"asRNA:CR44067",4,7,6,5,8,18,13,18
"asRNA:CR44069",25,35,39,36,145,117,218,153
"asRNA:CR44083",23,33,72,31,83,132,144,161
"asRNA:CR44087",11,8,21,5,26,27,40,29
"asRNA:CR44093",38,32,69,32,124,131,212,232
"asRNA:CR44106",1,1,0,1,3,1,0,4
"asRNA:CR44116",0,0,1,1,2,9,9,9
"asRNA:CR44119",46,39,103,40,135,146,277,240
"asRNA:CR44137",4,7,12,3,40,58,54,68
"asRNA:CR44169",86,84,153,71,301,317,206,258
"asRNA:CR44181",0,0,0,0,0,0,0,0
"asRNA:CR44201",10,6,12,8,16,14,22,23
"asRNA:CR44205",0,0,0,0,0,0,0,0
"asRNA:CR44207",0,0,0,0,0,0,0,0
"asRNA:CR44228",55,71,153,82,179,191,190,184
"asRNA:CR44275",0,0,0,0,1,1,0,2
"asRNA:CR44351",0,0,0,1,0,1,1,3
"asRNA:CR44367",40,40,72,39,83,82,78,65
"asRNA:CR44370",7,3,12,3,73,66,67,68
"asRNA:CR44703",0,0,0,0,1,0,1,1
"asRNA:CR44704",0,0,1,1,0,0,0,1
"asRNA:CR44807",7,6,9,6,34,44,51,43
"asRNA:CR44897",0,0,0,0,0,0,0,0
"asRNA:CR44911",12,9,34,12,22,15,17,20
"asRNA:CR44969",6,6,11,9,44,39,42,30
"asRNA:CR44981",0,0,0,0,2,0,0,1
"asRNA:CR44992",1,3,2,3,14,24,9,16
"asRNA:CR44995",11,6,16,8,51,39,68,76
"asRNA:CR44996",22,20,48,27,162,173,187,201
"asRNA:CR45007",28,26,49,23,100,102,100,100
"asRNA:CR45009",4,12,25,9,134,104,82,99
"asRNA:CR45015",0,0,0,0,0,0,1,0
"asRNA:CR45044",7,11,20,6,64,69,91,75
"asRNA:CR45108",9,4,16,4,73,83,12,18
"asRNA:CR45126",94,87,173,90,152,164,121,156
"asRNA:CR45129",14,22,17,20,15,21,14,18
"asRNA:CR45133",4,4,14,8,9,16,24,18
"asRNA:CR45139",28,30,37,20,77,91,108,104
"asRNA:CR45140",68,71,147,80,1198,1029,1272,1230
"asRNA:CR45146",2,3,2,3,12,6,10,16
"asRNA:CR45161",0,0,0,0,0,0,0,0
"asRNA:CR45164",26,23,49,25,61,71,73,66
"asRNA:CR45167",0,0,0,0,0,0,0,0
"asRNA:CR45209",0,1,2,0,1,2,5,2
"asRNA:CR45272",0,0,1,1,2,2,1,2
"asRNA:CR45330",16,10,18,11,21,17,12,21
"asRNA:CR45367",1,0,3,3,9,9,14,6
"asRNA:CR45376",2,2,1,3,3,10,2,15
"asRNA:CR45467",2,0,6,2,11,16,6,14
"asRNA:CR45468",0,0,0,0,0,0,1,0
"asRNA:CR45479",132,113,252,138,159,173,189,182
"asRNA:CR45481",0,1,0,0,4,3,6,6
"asRNA:CR45485",0,0,2,2,4,7,9,7
"asRNA:CR45520",0,0,0,0,2,1,1,4
"asRNA:CR45535",0,0,0,0,0,0,0,0
"asRNA:CR45620",2,3,5,0,2,5,6,4
"asRNA:CR45629",0,1,0,0,0,0,0,0
"asRNA:CR45682",1,3,5,1,14,5,12,11
"asRNA:CR45713",25,20,50,27,62,37,57,64
"asRNA:CR45714",1,0,4,2,24,34,22,30
"asRNA:CR45798",2,0,1,1,4,7,2,7
"asRNA:CR45802",0,0,0,0,0,1,0,0
"asRNA:CR45807",43,44,63,44,78,67,97,110
"asRNA:CR45827",3,4,7,1,25,23,28,51
"asRNA:CR45831",193,175,401,223,253,336,342,323
"asRNA:CR45926",3,0,3,2,6,2,0,5
"asRNA:CR45928",21,16,31,21,66,66,109,102
"asRNA:CR45951",5,3,15,5,7,8,2,8
"asRNA:CR45952",2,0,1,0,5,2,4,4
"asRNA:CR45999",52,59,102,46,346,400,502,602
"asRNA:CR46005",14,21,29,18,27,24,18,25
"asRNA:CR46033",0,0,1,0,1,1,0,0
"asRNA:CR46038",7,6,8,2,9,10,13,8
"asRNA:CR46066",8,6,16,3,61,64,53,47
"asRNA:CR46069",1,0,0,0,0,0,0,0
"asRNA:CR46082",0,0,1,0,0,0,0,1
"asRNA:CR46089",244,204,477,228,1544,1713,1205,1382
"asRNA:CR46092",3,2,5,4,18,26,25,25
"asRNA:CR46096",1,2,3,0,3,5,9,5
"asRNA:CR46128",3,0,3,1,6,4,5,12
"asRNA:CR46136",1,1,3,1,2,7,4,4
"asRNA:CR46139",3,4,5,5,18,13,24,38
"asRNA:CR46256",0,0,0,1,2,2,0,0
"asRNA:CR46263",2,7,3,1,3,4,2,1
"asRNA:CR46266",0,0,0,0,0,0,0,0
"asRNA:CR46469",0,0,0,0,0,0,0,0
"asRNA:CR46471",24,23,25,21,256,234,218,189
"asRNA:CR46484",1370,1483,2302,1308,2273,2496,2399,2566
"asRNA:CR46485",19,25,47,27,104,134,212,250
"asRNA:CR46486",0,0,0,0,0,0,0,0
"asRNA:CR46487",1,2,1,1,7,3,5,1
"asRNA:Eig63F-2",0,0,0,0,0,1,0,0
"ast",530,442,919,508,679,716,634,661
"AstA-R1",76,78,162,67,276,263,293,288
"AstC-R1",0,0,0,0,1,1,0,1
"asun",56,57,99,51,88,89,113,92
"Asx",597,475,1159,547,1496,1694,1138,1203
"ATbp",71,57,135,60,188,186,167,153
"Atet",526,687,1176,504,3660,4113,3166,3769
"Atf-2",86,67,143,86,205,224,233,280
"Atf6",476,429,892,530,1140,1233,993,999
"Atg10",354,369,714,348,819,920,970,1226
"Atg101",27,29,73,30,91,98,111,122
"Atg13",428,388,815,399,680,768,761,860
"Atg14",176,124,326,132,517,579,511,602
"Atg17",439,395,814,395,1718,1803,1888,1970
"Atg18a",264,233,450,254,782,864,901,976
"Atg2",301,304,624,360,875,999,1108,1279
"Atg3",197,206,383,215,770,840,908,958
"Atg4a",319,252,638,317,870,1057,801,865
"Atg9",113,110,206,117,257,389,369,441
"atl",916,849,1761,898,2676,3131,3417,3721
"atms",359,360,675,304,821,908,824,920
"ato",0,1,0,1,0,0,0,1
"Atox1",94,77,139,69,176,228,462,514
"ATP6AP2",411,424,779,459,1148,1254,1020,1186
"ATP7",446,474,836,456,831,853,817,935
"Atpalpha",2422,2333,5106,2569,7207,7501,7177,6992
"ATPsynB",365,404,723,418,559,676,723,765
"ATPsynbeta",1023,1017,2069,1111,2085,2296,2574,2659
"ATPsynbetaL",3,2,6,2,16,10,20,11
"ATPsynD",295,315,590,292,669,678,659,695
"ATPsyndelta",235,181,379,201,433,484,443,483
"ATPsynO",217,154,378,204,294,300,277,294
"Atu",265,195,418,205,428,463,495,494
"Atx-1",17,17,27,16,29,23,32,27
"Atx2",717,669,1447,680,1219,1353,1387,1455
"Atxn7",169,170,385,200,651,890,629,690
"aurA",149,141,279,149,290,294,306,242
"aux",566,489,1055,465,1079,1215,1204,1227
"Awh",17,14,25,13,59,47,75,69
"axed",352,316,704,334,939,993,893,959
"Axn",397,358,712,379,768,793,839,849
"Axud1",204,179,428,186,853,857,680,787
"b",1,2,2,3,24,26,32,43
"B-H1",6,4,7,4,28,24,16,22
"B-H2",1,1,1,0,3,0,5,0
"B52",1347,1174,2542,1338,2712,2867,2439,2597
"b6",2,1,3,1,3,4,6,9
"babo",600,453,1046,527,980,1026,1241,1234
"Bacc",2216,2148,4355,2254,9624,10206,8170,8024
"baf",888,858,1734,959,1749,1815,1838,2021
"bai",261,262,507,280,634,777,732,823
"bap",0,0,0,0,0,0,0,1
"Bap111",388,377,793,399,596,626,616,657
"Bap170",573,483,1035,541,1050,1077,1208,1135
"bark",8,15,22,7,183,127,114,140
"baz",856,739,1564,719,1955,2017,1731,1651
"BBIP1",180,153,337,164,515,633,384,432
"BBS1",0,0,1,0,1,0,2,0
"BBS4",3,0,5,1,0,1,5,2
"BBS5",8,14,21,14,52,51,59,47
"BBS8",0,2,5,2,6,5,11,7
"BBS9",39,38,78,38,151,167,170,165
"bbx",611,536,1151,570,1384,1569,1465,1594
"bc10",239,193,462,210,475,540,508,661
"bchs",506,452,933,501,1521,1664,1569,1560
"BCL7-like",146,113,240,120,162,184,173,194
"bdl",44,47,94,52,580,642,287,288
"be",687,684,1480,767,2364,2502,2244,2312
"BEAF-32",207,208,377,205,565,656,663,723
"beat-Ia",1,0,1,1,1,2,2,1
"beat-Ic",0,2,3,0,17,18,12,7
"beat-IIIa",17,27,56,27,60,58,43,42
"beat-IIIb",0,0,0,0,2,3,1,0
"beat-IV",15,10,39,13,7,5,6,10
"beat-Vb",298,282,628,314,1106,1176,1174,1179
"beat-VI",0,0,1,0,5,2,0,3
"beg",86,90,177,85,167,182,232,210
"Bem46",67,81,133,70,187,220,346,378
"ben",351,287,635,332,696,747,781,812
"Best4",20,27,52,16,47,47,26,37
"Bet1",164,135,320,152,561,668,616,748
"Bet5",40,37,81,35,106,121,144,149
"beta-Man",924,956,1793,880,2839,3142,2960,2932
"beta-Spec",926,829,1770,859,2144,2260,2163,2313
"beta'COP",931,890,1712,943,1884,2211,2079,2455
"beta4GalNAcTA",112,103,208,107,522,608,687,626
"beta4GalT7",87,82,162,95,219,272,307,307
"betaggt-I",327,303,627,375,809,913,769,884
"betaggt-II",105,82,168,103,145,176,252,239
"betaNACtes3",6,16,23,10,1,2,1,1
"betaNACtes4",0,2,2,1,2,1,0,0
"betaTry",0,0,0,0,0,1,0,1
"betaTub60D",2626,2617,4771,2658,7548,7476,10365,9943
"BG642163",0,0,0,0,0,0,0,0
"Bgb",96,104,158,88,276,255,296,297
"bgm",58,63,122,52,471,475,427,466
"BHD",75,63,119,54,127,169,191,189
"bi",12,17,31,18,57,35,42,51
"bib",99,73,192,70,108,149,435,455
"bic",1185,1182,2226,1233,1698,1844,1934,2002
"BicC",0,4,1,1,18,10,21,23
"bif",2338,2167,4152,2315,6176,6568,6622,6731
"BigH1",0,1,1,0,2,1,2,0
"Bili",6,15,18,11,54,70,114,97
"bin",0,0,0,0,2,1,1,1
"bin3",3531,3285,5856,3586,6952,7334,7464,7310
"Blimp-1",0,3,2,3,6,11,8,5
"Blos4",36,31,56,34,127,133,145,165
"blp",159,136,327,160,248,268,270,338
"blw",1006,921,1945,941,1612,1634,1473,1624
"bma",29,16,55,25,101,116,134,153
"Bmcp",190,171,350,177,451,541,492,476
"bnk",0,0,0,0,0,0,0,0
"BOD1",295,252,584,292,497,562,619,674
"boil",0,0,0,0,0,0,0,0
"BomBc3",0,1,0,0,0,0,0,0
"bon",546,495,1076,534,1446,1503,1558,1500
"bond",1,0,1,1,2,4,9,2
"bonsai",157,100,282,132,188,214,264,242
"bora",147,121,254,138,194,167,258,175
"BORCS6",85,66,153,59,155,193,183,224
"boss",0,0,0,0,0,0,0,0
"botv",153,141,304,162,408,452,383,388
"bowl",772,686,1437,687,3919,4199,3358,3693
"BoYb",237,209,509,276,591,707,753,869
"br",579,432,1086,553,1402,1432,1149,1252
"brat",4587,4001,8536,4155,15620,16624,15151,15390
"Brca2",194,144,399,192,304,372,391,427
"Brd8",155,152,320,168,326,404,415,434
"brk",470,487,768,492,3198,3297,3942,3916
"brn",62,54,121,65,174,183,201,203
"brp",49,23,79,46,201,172,166,179
"bru1",4,2,8,2,13,25,29,32
"bru2",145,164,276,176,669,735,619,777
"BRWD3",666,597,1324,661,1087,1191,1336,1427
"brwl",138,157,330,186,523,515,474,555
"bs",555,511,1142,551,2326,2380,2455,2526
"Bsg",2044,1735,3932,1996,6582,6920,6424,6348
"bt",4,4,15,3,105,104,83,81
"BTBD9",312,275,604,288,568,580,595,611
"BtbVII",816,657,1625,795,1701,1977,1703,1779
"btd",13,14,27,22,32,27,24,27
"BthD",98,94,215,97,140,133,159,146
"btl",48,46,101,47,107,127,139,130
"btz",269,273,453,259,336,417,396,414
"Bub1",328,308,587,336,709,721,712,702
"Buffy",12,11,26,11,112,92,78,79
"bug",139,131,236,150,381,457,441,491
"BuGZ",1065,801,1953,984,2225,2520,2208,2232
"bves",964,936,1935,1039,3900,3823,3929,3985
"bwa",282,223,455,268,1151,1425,1343,1539
"Bx",475,523,939,496,2371,2522,1946,2067
"byn",0,0,0,0,0,0,0,0
"bys",177,167,405,191,240,261,206,220
"c(2)M",2,3,8,4,62,77,96,123
"c12.2",193,139,319,189,310,352,296,316
"C15",0,0,0,1,0,2,3,0
"ca",842,757,1539,787,1715,1843,2144,2231
"Ca-alpha1D",15,18,19,10,72,88,78,86
"Ca-Ma2d",12,15,19,13,53,69,82,83
"cactin",138,117,273,113,323,395,372,496
"cad",23,32,59,28,146,123,70,59
"Cad86C",135,149,244,88,613,617,359,433
"Cad88C",3,0,6,3,7,8,17,10
"Cad99C",4,2,4,4,23,17,50,48
"Cadps",388,342,792,444,945,1062,996,1073
"Caf1-55",503,438,997,478,668,686,704,718
"CAH1",1,3,4,2,22,22,17,19
"CAH13",0,0,0,0,0,0,0,1
"CAH14",0,0,0,0,0,0,0,1
"CAH15",0,0,0,0,0,0,0,0
"CAH16",0,1,0,0,0,0,0,0
"CAH2",2,4,9,5,7,14,14,23
"CAH3",769,736,1467,743,3388,3677,3354,3566
"CAH5",0,0,0,0,0,0,0,0
"CAH6",2,2,1,1,3,3,3,4
"CAH7",894,830,1699,889,5001,5546,4841,5055
"CAHbeta",120,131,216,134,787,969,727,725
"cal1",272,236,516,265,627,678,629,704
"CalpA",210,220,432,247,1215,1141,1242,1288
"CalpB",366,367,706,353,1780,1866,1852,1924
"CalpC",96,97,197,98,151,173,191,194
"Calx",85,88,192,87,400,399,120,125
"Cam",3750,3546,7329,3854,6254,6285,6571,6355
"CaMKI",342,284,607,287,895,1000,1085,1091
"Camta",118,100,216,114,211,196,298,265
"cana",233,177,424,219,880,1020,920,992
"CanA1",0,2,0,1,51,50,74,49
"CanB",14,18,42,19,52,53,65,63
"CanB2",264,203,529,233,534,623,759,835
"CAP",877,884,1605,908,2730,2704,2500,2566
"Cap-D2",324,305,582,321,350,329,457,312
"Cap-D3",401,368,759,413,822,836,895,924
"Cap-G",538,504,1033,557,1167,1242,1314,1203
"Cap-H2",345,248,645,299,952,991,668,680
"Caper",563,507,1047,540,951,1054,1021,1035
"caps",1417,1253,2594,1156,6615,6971,5733,6081
"car",159,172,327,161,249,265,283,299
"CARPA",0,0,0,0,0,2,0,0
"CARPB",502,475,904,498,1392,1606,1416,1536
"Cat",1051,1159,1767,1110,2548,2616,3309,3537
"Catsup",451,383,835,393,813,941,997,1039
"caup",8,4,6,5,11,17,13,20
"cav",43,30,75,40,152,175,196,191
"caz",807,711,1479,739,1622,1681,1593,1667
"Cbl",308,302,653,325,745,804,922,865
"CBP",2,0,3,1,27,31,34,44
"Cbp53E",13,8,20,13,2,2,33,24
"Cbp80",299,257,577,306,515,553,507,555
"cbs",193,165,342,157,433,492,535,585
"Cbs",232,183,438,231,785,811,819,775
"Cc2d2a",295,314,599,310,479,506,743,739
"CCDC151",0,0,0,0,0,0,0,0
"Ccdc56",366,359,753,358,885,1110,1196,1431
"Ccdc58",135,144,245,125,233,269,260,302
"Ccdc85",392,373,780,353,2185,2060,1824,1629
"CCHa2-R",7,6,23,6,20,14,21,24
"Ccm3",214,175,364,168,521,586,584,599
"Ccn",915,841,1589,795,2771,2928,2997,3062
"Ccp84Ag",0,0,0,0,0,0,3,0
"CCT2",1016,932,1893,1116,1367,1376,1336,1367
"CCT3",1233,1163,2197,1270,1445,1666,1231,1434
"CCT5",1149,1120,2168,1244,1348,1517,1440,1601
"CCT6",874,866,1668,914,1021,1151,1069,1150
"CCT7",1683,1654,3281,1875,3251,3501,2712,2881
"cd",15,23,24,14,35,31,63,62
"Cda9",0,0,0,1,0,0,0,1
"CDase",1448,1168,2422,1213,3181,3630,3190,3715
"Cdc16",119,115,227,120,192,221,250,256
"Cdc23",242,237,478,239,465,546,516,614
"Cdc37",563,495,1014,549,476,462,558,647
"Cdc42",603,542,1157,600,961,1078,927,1061
"Cdc7",529,494,980,481,832,827,1347,1348
"Cdep",1248,1000,2097,1030,3104,3479,3402,3405
"Cdk12",507,411,892,500,828,839,978,1043
"Cdk2",507,426,944,466,623,510,651,550
"CDK2AP1",207,170,390,175,255,298,287,304
"Cdk4",680,655,1237,693,2353,2356,1824,1803
"Cds",557,575,1083,502,955,1035,1177,1285
"Ced-12",182,151,398,166,438,449,469,514
"CenB1A",1167,1114,2150,1214,3146,3474,2974,3347
"CenG1A",2125,1840,3986,2020,5024,5377,6624,6788
"Cenp-C",336,283,657,251,664,631,542,532
"Cep135",151,124,297,137,406,418,510,468
"cep290",4,4,6,4,18,7,10,4
"Cep97",56,44,93,52,133,141,163,155
"cg",973,867,1811,891,1925,2095,1760,1840
"CG10013",0,0,0,0,1,1,3,1
"CG10019",10,10,10,7,13,22,11,14
"CG10026",89,95,144,71,163,257,292,361
"CG10050",108,114,228,131,132,167,138,147
"CG10051",2,2,11,5,14,16,24,22
"CG10053",51,41,88,43,172,180,180,173
"CG10062",66,59,103,48,91,78,20,12
"CG10073",33,34,50,18,90,85,25,34
"CG10081",1,0,0,0,0,1,0,1
"CG10082",1099,919,1844,1007,4374,4268,4175,4084
"CG10086",0,2,0,2,6,0,2,0
"CG10098",358,333,682,357,576,702,754,822
"CG10104",0,0,1,0,0,2,1,1
"CG10132",5,5,9,5,27,17,29,23
"CG10137",154,118,271,147,797,862,896,941
"CG10139",148,106,216,101,518,529,531,528
"CG10205",6,5,7,3,42,52,5,4
"CG10211",1,2,0,0,2,0,2,4
"CG10257",1,1,5,0,9,3,7,8
