"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"Dtg",9,18,23,17,85,97,124,157
"dtn",331,261,596,306,692,691,682,691
"dtr",17,9,36,12,30,39,32,46
"dve",396,286,634,358,1359,1399,1291,1464
"dwg",248,236,393,205,379,448,617,632
"dx",236,225,447,238,452,480,408,413
"Dyb",365,357,678,366,955,1079,1168,1204
"Dys",1820,1653,3584,1638,7053,7105,6741,6538
"Dysb",25,29,48,36,88,95,119,115
"E(Pc)",1301,1209,2588,1360,2416,2680,2903,3061
"E(spl)m3-HLH",704,664,1289,818,1252,1257,1220,1181
"E(spl)m6-BFM",0,0,0,0,0,0,1,1
"E(spl)mdelta-HLH",2,5,7,4,9,13,13,15
"e(y)1",102,115,219,119,246,264,219,292
"ea",2,1,7,4,10,3,9,6
"Eaat1",37,33,71,49,358,445,1017,1089
"eag",11,6,19,12,76,77,64,78
"ear",287,272,561,259,507,566,537,585
"eas",592,573,1128,628,1665,1649,1776,1749
"east",636,576,1238,593,945,1014,1179,1246
"Eato",344,274,605,320,616,739,716,792
"Eb1",763,649,1505,715,1169,1312,1360,1381
"ebi",571,499,1066,548,1187,1211,1245,1245
"EbpIII",6,4,4,10,29,41,28,43
"ec",1020,991,1890,958,4025,4221,3731,4043
"ECSIT",54,62,142,79,117,140,148,157
"Ect3",1080,1058,2047,968,3154,3382,2767,2877
"ed",171,169,363,215,796,841,773,687
"Edem2",284,269,531,267,777,912,894,949
"eEF1alpha1",6569,5788,12439,6436,6804,7054,7929,7862
"eEF1alpha2",12,7,25,12,28,37,44,49
"eEF1beta",831,780,1554,776,1417,1569,1406,1587
"eEF1delta",753,724,1571,698,1203,1338,1271,1386
"eEF1gamma",1467,1284,2569,1373,1868,2137,1955,2032
"eEF5",813,791,1667,861,1603,1674,2071,2105
"Efa6",1662,1478,3133,1719,2978,3280,4090,4025
"Efhc1.2",0,0,0,0,0,0,0,0
"Efr",85,79,195,101,344,404,368,415
"eg",5,4,20,7,148,126,34,32
"Egfr",60,68,102,51,169,126,120,103
"egh",434,389,797,396,853,839,865,717
"Eglp1",0,0,0,0,0,0,0,0
"egr",266,244,531,246,2993,2717,3163,3142
"eIF1",442,371,839,424,1227,1240,1392,1433
"eIF1A",465,377,811,399,851,940,863,911
"eIF2Bbeta",148,137,326,148,320,381,368,431
"eIF2Bdelta",246,213,465,249,600,748,816,964
"eIF2Bgamma",83,88,190,93,322,396,369,466
"eIF3b",979,901,1810,922,1223,1403,1183,1384
"eIF3c",1237,1189,2290,1215,1798,2006,1860,2115
"eIF3d1",784,617,1459,729,871,994,1060,1227
"eIF3f2",0,1,1,0,2,3,14,13
"eIF3j",638,517,1172,562,1063,1247,1449,1699
"eIF4A",2452,2246,4667,2551,4054,4383,3724,3980
"eIF4E3",0,0,0,0,0,1,1,0
"eIF4E5",1,2,1,1,4,3,10,6
"eIF4H1",442,388,965,475,779,831,827,792
"eIF4H2",0,0,0,0,0,0,1,0
"Eip55E",333,303,589,303,500,668,536,628
"Eip63E",4941,4191,9307,4625,17380,18216,19105,18444
"Eip78C",794,774,1523,743,2151,2490,3140,3114
"Eip93F",53,21,93,35,57,99,52,89
"Elal",10,8,16,7,22,21,10,10
"Elba2",6,5,4,4,40,42,55,60
"Elba3",203,184,385,188,306,354,472,493
"elg1",307,234,572,262,235,229,252,259
"elgi",147,105,213,131,322,355,355,385
"Elk",19,26,47,21,81,54,62,46
"EloA",331,248,666,293,591,739,791,890
"Elp1",350,321,688,352,1418,1674,1445,1591
"Elp2",195,180,406,167,327,315,345,373
"Elp3",341,314,636,332,699,711,606,673
"Elys",507,480,969,491,1054,1201,1115,1291
"emb",805,749,1487,721,1489,1665,1623,1652
"emc",776,787,1367,884,3642,3568,3839,3714
"EMC10",116,110,231,125,317,373,444,438
"ems",2,3,0,3,7,13,5,11
"ena",3328,3196,5886,3084,9622,10222,10260,10273
"enc",920,765,1768,874,1715,1834,2062,2109
"EndoA",485,445,858,453,1092,1121,1088,1203
"EndoGI",531,490,923,468,1133,1294,1044,1261
"EndoU",192,181,422,149,420,432,175,243
"enok",590,615,1143,649,998,1050,1424,1523
"Ent2",179,182,350,138,295,315,295,283
"Ent3",40,45,75,43,261,276,283,313
"Eogt",161,107,265,129,344,441,358,379
"Eph",426,380,822,419,1038,1051,1099,1077
"Ephrin",325,255,647,307,1170,1245,1264,1323
"epsilonCOP",320,287,570,327,592,735,671,777
"Ercc1",38,26,61,27,106,115,106,107
"eRF1",594,498,1096,513,1179,1273,1148,1294
"eRF3",1106,933,2055,1050,1741,2059,2139,2488
"ergic53",670,525,1151,572,1026,1230,1201,1237
"Ero1L",304,213,534,248,873,1015,1173,1266
